appid,name,type,release_date,required_age,developers,publishers,genres,price,metacritic_score,recommendations,achievements,year,owners_estimate,players_forever,average_playtime,median_playtime,tags,positive_reviews,negative_reviews,release_date_parsed
20200,Galactic Bowling,game,"Oct 21, 2008",0,Perpetual FX Creative,Perpetual FX Creative,"Casual, Indie, Sports",19.99,,,0,2008,"0 .. 20,000",,54,54,"Indie, Casual, Sports, Bowling",7,12,
655370,Train Bandit,game,"Oct 12, 2017",0,Rusty Moyher,Wild Rooster,"Action, Indie",0.99,,,0,2017,"0 .. 20,000",,4,4,"Indie, Action, Pixel Graphics, 2D, Retro",74,9,
320150,Deadlings: Rotten Edition,game,"Nov 11, 2014",0,ONE MORE LEVEL,ONE MORE LEVEL,"Action, Adventure, Indie",3.99,,,0,2014,"50,000 .. 100,000",,121,142,"Action, Indie, Adventure, Puzzle-Platformer, Arcade",226,44,
1026420,WARSAW RISING: City of Heroes,game,"Oct 2, 2019",0,"Pixelated Milk, Retrovibe Games",Instytut Pamięci Narodowej,"Indie, RPG, Free To Play",0.0,,541.0,0,2019,"20,000 .. 50,000",,360,189,"Tactical RPG, Wargame, Turn-Based Strategy, Historical, Strategy RPG",864,461,
485000,Cthulhu Realms,game,"Jul 1, 2016",0,"Wise Wizard Games, LLC","Wise Wizard Games, LLC",Strategy,0.0,,,0,2016,"50,000 .. 100,000",,1521,1521,"Card Game, Strategy, Deckbuilding, Lovecraftian, Free to Play",164,63,
22670,Alien Breed 3: Descent,game,"Nov 17, 2010",0,Team17 Digital Ltd,Team17 Digital Ltd,Action,1.99,64.0,366.0,0,2010,"200,000 .. 500,000",,65,32,"Action, Shooter, Isometric, Aliens, Sci-fi",431,147,
346560,Hero of the Kingdom II,game,"Feb 20, 2015",0,Lonely Troops,Lonely Troops,"Adventure, Casual, Indie, RPG",8.99,,1842.0,0,2015,"100,000 .. 200,000",,321,254,"Adventure, Casual, Point & Click, RPG, Indie",2313,139,
1097880,Super Naughty Maid 2,game,"Jun 20, 2019",0,KENZsoft,Denpasoft,"Casual, Indie",11.19,,1257.0,0,2019,"0 .. 20,000",,37,35,,0,0,
290870,Steam Squad,game,"Jul 28, 2016",0,Bretwalda Games,Bretwalda Games,"Indie, Strategy",17.99,,,0,2016,"0 .. 20,000",,0,0,"Strategy, Indie, Turn-Based, World War I, Steampunk",58,31,
575760,Project: R.E.B.O.O.T 2,game,"Jan 27, 2017",0,Volens Nolens Games,Volens Nolens Games,"Action, Adventure, Casual, Indie",0.99,,,0,2017,"20,000 .. 50,000",,253,222,"Action, Adventure, Casual, Indie, Platformer",48,43,
434030,Aerofly FS 2 Flight Simulator,game,"Nov 20, 2017",0,IPACS,IPACS,"Action, Indie, Racing, Simulation",49.99,,1945.0,0,2017,"200,000 .. 500,000",,1682,1709,"Flight, Simulation, VR, Racing, Open World",1580,422,
810740,Turtle Lu,game,"Mar 22, 2018",0,Falco Software,,"Action, Adventure, Casual, Indie",2.99,,,0,2018,"20,000 .. 50,000",,0,0,"Action, Adventure, Indie, Casual, Platformer",7,10,
677880,Draw Your Game,game,"Aug 10, 2017",0,Zero One,Zero One,Casual,0.0,,,0,2017,"0 .. 20,000",,0,0,"Casual, Platformer, Hand-drawn",19,59,
793990,Dupio,game,"Mar 6, 2018",0,NedoStudio,NedoStudio,"Casual, Indie",4.99,,,0,2018,"0 .. 20,000",,0,0,"Indie, Casual",26,21,
955490,Terror In The Atomic Desert,game,"Mar 22, 2019",0,TensionSplice,TensionSplice,"Adventure, Indie",2.99,,,0,2019,"0 .. 20,000",,0,0,"Adventure, Indie, Horror, Puzzle, First-Person",8,4,
552350,Unhappy Ever After,game,"Jan 20, 2017",0,Warped Tales,Warped Tales,"Adventure, Indie, RPG",0.99,,,0,2017,"20,000 .. 50,000",,282,282,"Adventure, Indie, RPG, RPGMaker, Dark Fantasy",14,12,
42500,DogFighter,game,"Jun 14, 2010",0,Dark Water Studios Ltd,Instinct Software Ltd.,"Action, Indie",0.99,,213.0,0,2010,"100,000 .. 200,000",,169,61,"Action, Indie, Flight, Arcade, Multiplayer",265,167,
1095380,Bepuzzled Kittens Jigsaw Puzzle,game,"Jun 11, 2019",0,Team Spikkeee,Spikkeee,Casual,3.99,,,0,2019,"0 .. 20,000",,0,0,"Casual, Puzzle, Cats, Cute, Psychological Horror",9,1,
1158910,Dream Detective,game,"Dec 4, 2019",0,Century Game,Century Game,"Adventure, Casual, Indie",7.99,,,0,2019,"0 .. 20,000",,0,0,"Adventure, Indie, Casual, Puzzle, Hand-drawn",19,8,
262150,Vanguard Princess,game,"Mar 3, 2014",0,Tomoaki Sugeno,eigoMANGA,"Action, Casual, Indie",4.99,,1481.0,0,2014,"200,000 .. 500,000",,247,153,"Anime, Fighting, 2D Fighter, Indie, Female Protagonist",1993,858,
231330,Deadfall Adventures,game,"Nov 15, 2013",0,The Farm 51,THQ Nordic,"Action, Adventure",19.99,53.0,1267.0,0,2013,"200,000 .. 500,000",,346,326,"Adventure, Action, FPS, Shooter, First-Person",1859,664,
1056520,Who We Are Now,game,"May 7, 2019",0,Chroma Field Games,Chroma Field Games,Indie,14.99,,,0,2019,"0 .. 20,000",,0,0,,0,0,
897820,Reigns: Game of Thrones,game,"Oct 18, 2018",0,Nerial,"Devolver Digital, Big Fan Games","Adventure, Indie, RPG",1.31,84.0,920.0,0,2018,"100,000 .. 200,000",,210,108,"RPG, Indie, Card Game, Adventure, Choices Matter",787,221,
658970,CasinoRPG,game,"Jan 16, 2018",0,GoldFire Studios,GoldFire Studios,"Casual, Indie, Massively Multiplayer, RPG, Simulation, Free To Play",0.0,,,0,2018,"50,000 .. 100,000",,1111,2178,"Simulation, Massively Multiplayer, Gambling, Management, Card Game",185,111,
552520,Far Cry® 5,game,"Mar 26, 2018",17,"Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",Ubisoft,"Action, Adventure",59.99,,163876.0,0,2018,"2,000,000 .. 5,000,000",,2147,1414,"Open World, Action-Adventure, Multiplayer, Co-op, FPS",140377,33100,
718350,Loot Collection: Mahjong,game,"Oct 5, 2017",0,Boogygames Studios,Boogygames Studios,"Adventure, Casual, Indie, Simulation, Strategy",1.99,,,0,2017,"50,000 .. 100,000",,0,0,"Hidden Object, Match 3, Puzzle, Board Game, Point & Click",4,4,
433450,INFERNO CLIMBER,game,"Sep 8, 2016",0,Arc System Works,Arc System Works,"Action, RPG",14.99,,,0,2016,"0 .. 20,000",,274,274,"RPG, Action, Dark Fantasy, Souls-like, Atmospheric",63,50,
464230,Colours of Magic: Aqua Teeter,game,"Apr 25, 2016",0,RunServer,RunServer,"Casual, Indie",0.99,,,0,2016,"20,000 .. 50,000",,183,207,"Casual, Indie, Puzzle, Singleplayer, Relaxing",78,24,
1135380,不可思议佣兵团,game,"Oct 3, 2019",0,折凳工作室,折凳工作室,Indie,3.99,,,0,2019,"0 .. 20,000",,0,0,"Sexual Content, Nudity, Indie, Visual Novel",6,5,
1144900,Pension Day,game,"Sep 3, 2019",0,Julian Henley,Julian Henley,"Action, Casual",0.99,,,0,2019,"20,000 .. 50,000",,0,0,"Action, Casual, Arcade, Pixel Graphics, 2D",0,1,
306350,Slipstream 5000,game,"Oct 9, 2015",0,"Gremlin Interactive, The Software Refinery",Funbox Media Ltd,"Action, Racing, Sports",2.99,,,0,2015,"100,000 .. 200,000",,344,226,"Racing, Sports, Action, Retro, 1990's",309,98,
1128520,Rezist: Tower Defense,game,"Sep 26, 2019",0,SparkGames,SparkGames,"Indie, Strategy",0.99,,,0,2019,"0 .. 20,000",,0,0,"Strategy, Indie",7,0,
12140,Max Payne,game,"Jan 6, 2011",17,Remedy Entertainment,Rockstar Games,Action,3.49,89.0,12043.0,0,2011,"1,000,000 .. 2,000,000",,347,152,"Action, Noir, Classic, Third-Person Shooter, Bullet Time",13072,1581,
541570,Sally Face - Episode One,game,"Dec 14, 2016",0,Portable Moose,Portable Moose,"Adventure, Indie",2.99,,23223.0,0,2016,"1,000,000 .. 2,000,000",,386,299,"Story Rich, Psychological Horror, Indie, Horror, Dark",21939,622,
1119070,Shibui Coliseum,game,"Oct 29, 2019",0,Soiree Games,Soiree Games,"Action, Indie",2.99,,,0,2019,"0 .. 20,000",,0,0,,0,0,
870000,AmazeD 3D,game,"Jul 14, 2018",0,Retrover Games,Retrover Games,"Adventure, Casual, Indie, RPG, Strategy",0.0,,,0,2018,"0 .. 20,000",,0,0,"Casual, RPG, Strategy, Adventure, Indie",4,8,
768060,The Warrior Of Treasures,game,"Jan 3, 2018",0,VS Resolution,My Way Games,"Action, Adventure, Indie",0.99,,,0,2018,"0 .. 20,000",,0,0,"Action, Adventure, Indie",31,16,
372890,Red Crow Mysteries: Legion,game,"May 28, 2015",0,Cateia Games,Cateia Games,"Adventure, Indie",9.99,,,0,2015,"50,000 .. 100,000",,342,446,"Hidden Object, Puzzle, Female Protagonist, Point & Click, 2D",16,28,
1022840,The Adventures of Jason and the Argonauts,game,"Feb 8, 2019",0,PixQuake,HH-Games,"Action, Casual, Indie, Strategy",6.99,,,0,2019,"0 .. 20,000",,0,0,"Strategy, Action, Indie, Casual, Match 3",26,4,
652160,DC Wonder: Unlimited,game,"Jun 14, 2017",0,Nucleax,Nucleax,"Action, Indie",4.99,,,0,2017,"0 .. 20,000",,0,0,"Action, Indie",1,0,
968580,Halloween Puzzles,game,"Nov 6, 2018",0,Boogygames Studios,Boogygames Studios,"Adventure, Casual, Indie, Simulation, Sports, Strategy",1.99,,,0,2018,"0 .. 20,000",,0,0,"Puzzle, Hidden Object, Match 3, Board Game, Tabletop",1,3,
368080,Aurion: Legacy of the Kori-Odan,game,"Apr 14, 2016",0,Kiro'o Games,Kiroo Corp,"Action, Indie, RPG",4.99,,127.0,0,2016,"20,000 .. 50,000",,217,323,"Story Rich, Lore-Rich, Fantasy, Action RPG, 2D",231,117,
817370,Marching Simulator,game,"Jul 29, 2018",0,Marching Simulator,Marching Simulator,"Free To Play, Simulation, Early Access",0.0,,,0,2018,"0 .. 20,000",,0,0,"Free to Play, Simulation, Early Access",41,11,
457140,Oxygen Not Included,game,"Jul 30, 2019",0,Klei Entertainment,Klei Entertainment,"Indie, Simulation",7.49,85.0,127121.0,0,2019,"2,000,000 .. 5,000,000",,5674,899,"Colony Sim, Base-Building, Survival, Resource Management, Building",124220,4170,
863490,Bighead Runner,game,"Jun 7, 2018",0,NukGames,NukGames,"Adventure, Casual, Indie",0.49,,144.0,0,2018,"20,000 .. 50,000",,91,91,"Indie, Casual, Adventure, Runner, Singleplayer",132,42,
396640,TowerClimb,game,"Sep 22, 2015",0,Davioware and Quazi,Davioware and Quazi,"Action, Adventure, Indie, RPG",14.99,,304.0,0,2015,"20,000 .. 50,000",,140,155,"Indie, Action Roguelike, Adventure, Action, Pixel Graphics",353,32,
726020,Mission Ammunition,game,"Oct 27, 2017",0,Quantized Bit,Quantized Bit,"Action, Indie",1.19,,,0,2017,"20,000 .. 50,000",,48,48,"Action, Indie, Pixel Graphics, Platformer, Side Scroller",76,22,
424060,The Glow,game,"Dec 10, 2015",0,Brainwashing games,Brainwashing games,"RPG, Strategy",3.99,,,0,2015,"0 .. 20,000",,0,0,"RPG, Strategy, Indie, Survival, Exploration",8,16,
514870,Fat City,game,"Oct 22, 2018",10,Heavy Iron Studios,"Heavy Iron Studios, Inc.","Casual, Indie, Strategy",0.0,,,0,2018,"0 .. 20,000",,0,0,"Indie, Casual, Strategy",3,0,
548290,Dark Eden,game,"Nov 28, 2016",0,SOFTON ENTERTAINMENT,SOFTON ENTERTAINMENT,"Massively Multiplayer, RPG",0.0,,,0,2016,"50,000 .. 100,000",,237,338,"Free to Play, RPG, Massively Multiplayer, Horror",132,135,
695420,Hex: Origins,game,"Sep 23, 2017",0,Pretty Bat Games,Pretty Bat Games,"Casual, Indie",1.99,,,0,2017,"0 .. 20,000",,137,137,"Indie, Casual, Puzzle, Relaxing, Hex Grid",7,0,
587490,Dark Throne,game,"Mar 3, 2017",0,Marcin Mikołajczyk,Back To Basics Gaming,"Action, Adventure, Indie, RPG",0.99,,,0,2017,"0 .. 20,000",,0,0,"Action, Adventure, Indie, RPG, Pixel Graphics",15,20,
546050,Puyo Puyo™Tetris®,game,"Feb 27, 2018",0,"Sonic Team, Bitbaboon",SEGA,"Action, Casual",13.99,,4658.0,0,2018,"500,000 .. 1,000,000",,984,530,"Puzzle, Casual, Competitive, Multiplayer, Action",4654,865,
301700,Numba Deluxe,game,"May 23, 2014",0,Cobra Mobile,Cobra Mobile,Casual,2.99,,,0,2014,"200,000 .. 500,000",,335,12,"Casual, Puzzle, Singleplayer",173,105,
730310,DYNASTY WARRIORS 9,game,"Feb 13, 2018",0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Action,44.99,,6526.0,0,2018,"500,000 .. 1,000,000",,2724,189,"Action, Hack and Slash, Open World, Musou, Historical",3564,6493,
242530,The Chaos Engine,game,"Aug 29, 2013",0,"Abstraction Games, The Bitmap Brothers",Rebellion,Action,9.99,40.0,266.0,0,2013,"100,000 .. 200,000",,129,147,"Action, Retro, Co-op, Steampunk, Top-Down",288,138,
420270,Into the Void,game,"Dec 4, 2015",0,Mozg Labs,Mozg Labs,"Adventure, Indie, RPG, Strategy",1.99,,,0,2015,"20,000 .. 50,000",,339,471,"Strategy, Adventure, Space, RPG, Indie",84,51,
435790,10 Second Ninja X,game,"Jul 19, 2016",0,Four Circle Interactive,Curve Games,"Action, Indie",9.99,,286.0,0,2016,"500,000 .. 1,000,000",,159,15,"Action, Indie, Platformer, Puzzle-Platformer, Ninja",2492,688,
926310,咕啾！文鸟恋爱物语 Love Story of Sparrow,game,"Feb 1, 2019",0,豆干叠叠木,豆干叠叠木,"Adventure, Casual, Indie",0.99,,323.0,0,2019,"0 .. 20,000",,0,0,"Adventure, Casual, Indie, Sexual Content, LGBTQ+",301,30,
788020,Critical Gravity,game,"Dec 16, 2019",0,MOGA Creative,MOGA Creative,"Action, Casual, Indie, Racing, Simulation, Sports, Strategy",9.99,,,0,2019,"0 .. 20,000",,0,0,"Racing, Simulation, Action, Casual, Indie",6,2,
856730,ARENA 8,game,"May 16, 2018",0,Artur Rezende,Artur Rezende,"Action, Casual, Indie",0.99,,,0,2018,"20,000 .. 50,000",,0,0,"Arena Shooter, Martial Arts, Pixel Graphics, 2D, 2D Platformer",1,6,
7940,Call of Duty® 4: Modern Warfare® (2007),game,"Nov 12, 2007",17,Infinity Ward,Activision,Action,19.99,92.0,20849.0,0,2007,"2,000,000 .. 5,000,000",,983,390,"FPS, Action, Multiplayer, Shooter, Singleplayer",23438,1632,
741770,Santa's vacation,game,"Nov 22, 2017",0,ElZzap Software,Volens Nolens Games,"Action, Adventure, Indie, RPG",4.99,,,0,2017,"0 .. 20,000",,0,0,"Action, Adventure, RPG, Indie, Arcade",13,9,
110630,Mutant Storm: Reloaded,game,"Mar 21, 2012",0,PomPom Games,PomPom Games,"Action, Indie",4.99,,,0,2012,"0 .. 20,000",,0,0,"Indie, Action, Twin Stick Shooter, Shoot 'Em Up, Arcade",35,14,
572330,The Fan,game,"May 10, 2017",0,Ezhaac Studio,Plug In Digital,Adventure,5.99,,114.0,0,2017,"20,000 .. 50,000",,193,193,"Violent, Adventure, Point & Click, Horror, Hidden Object",105,61,
567150,Mosaics Galore,game,"Jul 27, 2018",0,Creobit,8Floor,"Action, Adventure, Casual, Simulation, Sports",4.99,,109.0,0,2018,"50,000 .. 100,000",,270,306,"Adventure, Casual, Puzzle, Arcade, Solitaire",91,28,
700880,Kingdom: The Far Reaches,game,"Sep 8, 2017",0,Interplay,Interplay,Adventure,9.99,,,0,2017,"100,000 .. 200,000",,0,0,"Adventure, FMV, Fantasy, Hand-drawn, Choices Matter",6,1,
717980,伏雨录：少年篇,game,"May 11, 2018",0,祥,祥,"Adventure, Indie, RPG",6.99,,,0,2018,"20,000 .. 50,000",,0,0,"Adventure, Indie, RPG, Drama, Turn-Based",76,9,
778900,Magical Star Pillars,game,"Apr 27, 2018",0,Toolkitz Games,Toolkitz Games,"Action, Adventure, Casual, Indie",0.0,,,0,2018,"0 .. 20,000",,0,0,"Action, Adventure, Indie, Casual",1,0,
907460,Girlfriend Cards,game,"Sep 20, 2018",0,meokigame,meokigame,"Action, Adventure, Casual, Indie, RPG, Simulation, Sports, Strategy",0.99,,,0,2018,"0 .. 20,000",,0,0,"Sexual Content, Nudity, Casual, Indie, Strategy",9,19,
703120,Keeplanet,game,"Apr 6, 2018",0,BigGame Studio,BigGame Publishing,"Action, Casual, Indie, Simulation",0.99,,,0,2018,"0 .. 20,000",,0,0,"Casual, Indie, Simulation",13,8,
328710,One Last Day,game,"Apr 28, 2015",0,Bloodwolf Studio,Bloodwolf Studio,"Action, Adventure, Indie, Early Access",12.99,,,0,2015,"0 .. 20,000",,0,0,"Adventure, Indie, Early Access, Action, Survival",64,39,
845290,Destructions,game,"Jul 3, 2018",0,LUXO Interactive,LUK KUS SOFT,"Action, Adventure, Casual, Indie",1.99,,,0,2018,"0 .. 20,000",,0,0,"Action, Open World, Indie, Destruction, Sandbox",25,9,
739720,Penkura,game,"Dec 19, 2018",0,LionsArt,LionsArt,"Action, Adventure, Indie, RPG, Strategy, Early Access",13.99,,164.0,0,2018,"0 .. 20,000",,0,0,"Early Access, Open World Survival Craft, Immersive Sim, First-Person, Base-Building",145,17,
873970,Virtual Families 2: Our Dream House,game,"Jun 25, 2018",0,Last Day Of Work,Last Day Of Work,Simulation,7.99,,,0,2018,"0 .. 20,000",,139,139,Simulation,15,15,
962950,执行人 Executor,game,"Nov 6, 2018",0,GuGong,GuGong,Indie,1.99,,,0,2018,"0 .. 20,000",,0,0,Indie,13,2,
778120,Hyperbolic Ignition,game,"Feb 12, 2018",0,Kevin Nguyen,Kevin Nguyen,"Action, Indie, Simulation",0.99,,,0,2018,"0 .. 20,000",,0,0,"Action, Indie, Simulation, Space, Pixel Graphics",5,3,
1187910,Third Rule of Universe.,game,"Nov 15, 2019",0,Mifos Games,Mifos Games,"Action, Indie, RPG",1.49,,,0,2019,"0 .. 20,000",,0,0,"Action, RPG, Indie",2,1,
763350,Slime Sports,game,"Feb 21, 2018",0,Dribble Games,Dribble Games,"Action, Casual, Indie, Sports, Free To Play",0.0,,,0,2018,"0 .. 20,000",,0,0,"Casual, Action, Sports, Indie, Free to Play",11,3,
761910,Worbital,game,"Jan 31, 2019",0,Team Jolly Roger,"Team Jolly Roger, Advanced Interactive Gaming","Action, Indie, Strategy",12.99,76.0,402.0,0,2019,"0 .. 20,000",,128,101,"Action RTS, PvP, Multiplayer, Singleplayer, Local Multiplayer",405,49,
975470,Silver Chains,game,"Aug 6, 2019",0,Cracked Heads Games,Headup,"Adventure, Indie",2.49,51.0,890.0,0,2019,"100,000 .. 200,000",,233,264,"Horror, Adventure, Indie, Psychological Horror, Multiplayer",848,371,
372770,Floors of Discomfort,game,"May 26, 2015",0,Three Prong Productions,Three Prong Productions,"Action, Indie, RPG",1.99,,,0,2015,"0 .. 20,000",,0,0,"Action, RPG, Indie",5,2,
462580,New Yankee in Santa's Service,game,"May 12, 2016",0,Rionix,ESDigital Games,"Casual, Simulation, Strategy",4.99,,,0,2016,"0 .. 20,000",,195,236,"Strategy, Casual, Simulation",24,8,
926870,Twin Synth,game,"Oct 15, 2018",0,Joe Chatfield,Joe Chatfield,"Action, Indie, Early Access",9.99,,,0,2018,"0 .. 20,000",,0,0,"Action, Indie, Early Access, Music, Twin Stick Shooter",1,0,
848720,Z.W!,game,"May 15, 2018",0,S. Khasanov,S. Khasanov,"Action, Indie",0.99,,,0,2018,"0 .. 20,000",,0,0,"Action, Indie",3,1,
519140,Minds Eyes,game,"Aug 31, 2016",0,Stanislaw Truchowski,TurnVex,"Action, Adventure, Free To Play, Indie",0.0,,,0,2016,"200,000 .. 500,000",,41,38,"Horror, Free to Play, Multiplayer, Survival Horror, Adventure",1234,529,
821260,LIGHT,game,"Apr 5, 2018",0,Indie Light,Indie Light,"Action, Indie",0.99,49.0,,0,2018,"0 .. 20,000",,0,0,"Action, Indie, Shoot 'Em Up",5,4,
748490,The Legend of Heroes: Trails of Cold Steel II,game,"14 Feb, 2018",13,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",RPG,49.99,81.0,2567.0,0,2018,"100,000 .. 200,000",,4622,4591,"JRPG, RPG, Anime, Story Rich, Turn-Based",2655,178,
545000,Aoki Ookami to Shiroki Mejika,game,"Dec 13, 2016",0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Strategy,12.99,,,0,2016,"0 .. 20,000",,0,0,Strategy,2,1,
544220,Damage: Sadistic Butchering of Humanity,game,"Dec 11, 2016",0,Suomi-Peli,Suomi-Peli,"Sexual Content, Nudity, Violent, Gore, Action, Adventure, Indie, Early Access",4.2,,,0,2016,"0 .. 20,000",,0,0,"Gore, Nudity, Indie, Sexual Content, Action",5,15,
338190,Just Get Through,game,"Jan 30, 2015",0,Retrific,Retrific,"Action, Adventure, Casual, Indie, Racing",4.99,,161.0,0,2015,"20,000 .. 50,000",,101,149,"Action Roguelike, Indie, Casual, Action, Adventure",186,32,
551680,Bad birthday,game,"Nov 11, 2016",0,Strong Cube,Strong Cube,"Adventure, Indie",0.0,,,0,2016,"0 .. 20,000",,257,271,"Adventure, Indie, Horror, Action, Zombies",15,18,
964920,Space Tycoon | 星际大亨,game,"Jan 4, 2019",0,Space Driver,Space Driver,"Adventure, Casual, Indie, Simulation, Strategy",16.99,,,0,2019,"0 .. 20,000",,0,0,"Casual, Indie, Simulation, Strategy, Adventure",7,8,
1085570,Fables of Talumos,game,"Sep 1, 2019",0,Cheesemaster Games,Cheesemaster Games,"Action, Adventure, Indie, RPG",2.99,,,0,2019,"0 .. 20,000",,0,0,"Action, Indie, Adventure, Action-Adventure, Pixel Graphics",9,0,
906050,Hentai Case Opening,game,"Sep 27, 2018",0,RewindApp,RewindApp,"Casual, Indie",0.55,,213.0,0,2018,"0 .. 20,000",,0,0,"Sexual Content, Nudity, Casual, Indie, Mature",54,29,
351910,Valhalla Hills,game,"Dec 2, 2015",0,Funatics Software,Daedalic Entertainment,"Indie, Simulation, Strategy",1.29,69.0,675.0,0,2015,"200,000 .. 500,000",,226,130,"Strategy, Simulation, Indie, City Builder, Mythology",722,586,
513480,Geo,game,"Jan 31, 2017",0,Windybeard,Windybeard,"Adventure, Indie, Simulation",8.99,,107.0,0,2017,"20,000 .. 50,000",,176,176,"Indie, Simulation, Adventure, Sci-fi, Mining",151,27,
403070,Silver Creek Falls: Chapter 2,game,"Sep 30, 2015",0,Sapphire Dragon Productions,Sapphire Dragon Productions,"Adventure, Indie",4.99,,,0,2015,"0 .. 20,000",,0,0,"Adventure, Indie, RPGMaker, Female Protagonist, Story Rich",42,11,
811440,Gripper's Adventure,game,"Mar 21, 2018",0,Gripper's Studio,Gripper's Studio,"Adventure, Indie, Strategy",10.99,,,0,2018,"0 .. 20,000",,0,0,"Strategy, Adventure, Indie, Puzzle",4,1,
491010,IN-VERT: Definitive Edition,game,"Mar 2, 2018",0,TERNOX,TERNOX,"Action, Adventure, Indie",4.99,,,0,2018,"50,000 .. 100,000",,273,296,"Indie, Action, Adventure, Difficult, Platformer",82,19,
681290,Hare,game,"Sep 27, 2017",0,zelun_,zelun_,"Action, Adventure, Indie",4.99,,,0,2017,"0 .. 20,000",,0,0,"Action, Indie, Adventure, Racing, Casual",27,15,
350530,Airport Firefighters - The Simulation,game,"May 13, 2015",0,Visual Imagination Software GbR,rondomedia GmbH ,Simulation,1.99,,115.0,0,2015,"50,000 .. 100,000",,157,163,"Simulation, Action, First-Person",118,125,
872340,Bunny Battle Arena,game,"Sep 12, 2018",0,DCF Studios,DCF STUDIOS,"Sexual Content, Violent, Action, Adventure, Indie",2.99,,,0,2018,"0 .. 20,000",,0,0,"Action, Indie, Adventure, Violent, Sexual Content",5,2,
523680,Honey Rose: Underdog Fighter Extraordinaire,game,"Sep 29, 2016",0,Pehesse,Self,"Action, Adventure, Indie, Strategy",0.0,,,0,2016,"20,000 .. 50,000",,221,327,"Action, Adventure, Indie, Strategy, Visual Novel",40,13,
439460,Ships 2017,game,"Oct 19, 2016",0,FragOut,"Games Box, SIG Publishing","Indie, Simulation",14.99,,154.0,0,2016,"20,000 .. 50,000",,424,432,"Simulation, Indie, Free to Play, Adventure, Strategy",65,120,
296650,The Great Jitters: Pudding Panic,game,"May 22, 2014",0,kunst-stoff GmbH,kunst-stoff GmbH,"Action, Casual, Indie, Strategy",4.99,,,0,2014,"20,000 .. 50,000",,18,18,"Indie, Casual, Action, Strategy, Puzzle",47,25,
418270,Draw Slasher,game,"Oct 13, 2016",0,Mass Creation,Mass Creation,"Action, Adventure, Indie",1.99,,168.0,0,2016,"100,000 .. 200,000",,123,43,"Action, Indie, Adventure, Ninja, 2D",485,467,
390220,Toilet Tycoon,game,"Sep 17, 2015",0,Anvil-Soft,"Anvil-Soft, Plug In Digital","Indie, Simulation",4.99,,161.0,0,2015,"20,000 .. 50,000",,133,152,"Simulation, Indie, Psychological Horror, Management, Horror",147,59,
549860,One Night Stand,game,"Nov 7, 2016",0,Kinmoku,Kinmoku,"Adventure, Casual, Indie, Simulation",2.99,,645.0,0,2016,"50,000 .. 100,000",,177,239,"Indie, Visual Novel, Choices Matter, Multiple Endings, Short",654,78,
612380,Cryptocracy,game,"Apr 11, 2017",0,Dozen Minds OU,Dozen Minds OU,"Casual, Indie, Strategy",0.99,,,0,2017,"0 .. 20,000",,0,0,"Casual, Indie, Strategy",5,4,
350480,Tales of Cosmos,game,"Oct 20, 2016",0,Red Dwarf Games,Red Dwarf Games,"Adventure, Indie",14.99,,,0,2016,"0 .. 20,000",,0,0,"Adventure, Indie, Point & Click, Space, 2D",42,9,
220900,Jack Lumber,game,"Apr 30, 2013",0,Owlchemy Labs,Owlchemy Labs,"Action, Casual, Indie, Strategy",4.99,,,0,2013,"100,000 .. 200,000",,86,69,"Casual, Indie, Action, Strategy, Touch-Friendly",226,135,
539090,Clazer,game,"Dec 27, 2016",0,"SynapticSwitch, LLC","SynapticSwitch, LLC, LeadTech, LLC","Simulation, Sports",29.99,,,0,2016,"20,000 .. 50,000",,1,1,"Simulation, Sports, VR",24,8,
908500,crazy maze ~疯狂迷宫 ~ 狂った迷路 ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth,game,"Nov 1, 2018",0,liuguowang,liuguowang,"Adventure, Casual, Indie, Strategy",0.0,,,0,2018,"200,000 .. 500,000",,0,0,"Casual, Indie, Strategy, Adventure",16,13,
809890,Shining Resonance Refrain,game,"Jul 9, 2018",0,SEGA,SEGA,"Adventure, RPG",5.99,68.0,886.0,0,2018,"50,000 .. 100,000",,582,427,"RPG, Adventure, Anime, JRPG, Action RPG",899,385,
570770,古剑奇谭二(GuJian2),game,"Sep 7, 2017",0,"上海烛龙信息科技有限公司, Aurogon Shanghai",北京网元圣唐娱乐科技有限公司,RPG,15.99,,2675.0,0,2017,"200,000 .. 500,000",,1023,210,"RPG, Story Rich, Singleplayer, Martial Arts, Great Soundtrack",2194,642,
448500,Little Walker,game,"Apr 6, 2016",0,FlipswitchX,FlipswitchX,"Action, Adventure, Casual, Indie",3.99,,,0,2016,"0 .. 20,000",,206,206,"Indie, Adventure, Casual, Action, Platformer",39,4,
854160,Dino Dawn,game,"May 11, 2018",0,neonboxgames,neonboxgames,"Adventure, Indie",4.99,,,0,2018,"0 .. 20,000",,2,3,"Indie, Adventure, Platformer",11,33,
897010,Surface: Return to Another World Collector's Edition,game,"Aug 6, 2018",0,Elephant Games,BFG Entertainment,"Adventure, Casual",9.99,,,0,2018,"0 .. 20,000",,0,0,"Adventure, Casual, Hidden Object",2,0,
